Código Antiguo;Código Vigente;Código Madre Antiguo;Código Madre Nuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;Ámbito de Funcionamiento;Nombre Oficial;Certificación;Dependencia Administrativa;NivelAtencionEstabglosa;ComunaCódigo;ComunaGlosa;TipoViaGlosa;Número;Nombredevía;TelefonoMovil_TelefonoFijo;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia;Clasificación Tipo de SAPU;LatitudGlosa;LongitudGlosa;TipoSistemaSaludGlosa;Estado de Funcionamiento;NivelComplejidadEstabGlosa;Tipo de Atención;Fecha de Incorporación a la base
29-107;129107;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Oscar Hernández E.(Curacautín);No Aplica;Servicio de Salud;Primario;9203;Curacautín;Calle;;Serrano ;452551800;;SI;Urgencia Hospitalaria (UEH);No Aplica;-38,439331;-71,891355;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
29-446;129446;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Rariruca;No Aplica;Municipal;Primario;9203;Curacautín;Calle;;Caserío de Rariruca;;;NO;No Aplica;No Aplica;-38,428289;-72,008945;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
21-938;200941;21-323;121323;9;Región De La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Perquenco;No Aplica;Municipal;Primario;9113;Perquenco;Calle;;Esmeralda ;452537005;;SI;Urgencia Ambulatoria (SUR);No Aplica;-38,418376;-72,372275;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
21-323;121323;;;9;Región De La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar  Perquenco;Centro de Salud Familiar;Municipal;Primario;9113;Perquenco;Calle;880; Nicasio de Toro;452537005;;NO;No Aplica;No Aplica;-38,418335;-72,372362;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
21-111;121111;;;9;Región De La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Galvarino;No Aplica;Servicio de Salud;Primario;9106;Galvarino;Calle;498;Mac Iver ;452552152;;SI;Urgencia Hospitalaria (UEH);No Aplica;-38,410261;-72,785259;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
28-447;128447;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Primer Agua;No Aplica;Municipal;Primario;8207;Tirúa;Calle;;Sector Primer Agua;;;NO;No Aplica;No Aplica;-38,408959;-73,500305;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
21-484;121484;;;9;Región De La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Rucatraro;No Aplica;Municipal;Primario;9106;Galvarino;Calle;;Sector Rucatraro;;;NO;No Aplica;No Aplica;-38,402871;-72,979289;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
21-416;121416;;;9;Región De La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural La Piedra;No Aplica;Municipal;Primario;9106;Galvarino;Calle;;Sector La Piedra;;;NO;No Aplica;No Aplica;-38,399641;-72,847102;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-417;129417;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Molco;No Aplica;Municipal;Primario;9210;Traiguén;Calle;;Sector Molco;;;NO;No Aplica;No Aplica;-38,397795;-72,648844;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-448;128448;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Loncotripai;No Aplica;Municipal;Primario;8207;Tirúa;Calle;;Sector Loncotripai;412726220;;NO;No Aplica;No Aplica;-38,397307;-73,386238;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-427;129427;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural La Herradura;No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Sector La Herradura;;;NO;No Aplica;No Aplica;-38,389789;-73,067105;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-445;129445;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Radalco;No Aplica;Municipal;Primario;9203;Curacautín;Calle;;Sector Radalco;;;NO;No Aplica;No Aplica;-38,372997;-71,959521;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-429;129429;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Selva Oscura;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Aldea Selva Oscura;;;NO;No Aplica;No Aplica;-38,367504;-72,166688;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
21-561;121561;;;9;Región De La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pangueco (Galvarino);No Aplica;Municipal;Primario;9106;Galvarino;Calle;;Sector Pangueco;;;NO;No Aplica;No Aplica;-38,366715;-72,871104;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-434;129434;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cullinco;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Sector Cullinco;;;NO;No Aplica;No Aplica;-38,364148;-72,270608;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-410;128410;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Isla Mocha;No Aplica;Municipal;Primario;8201;Lebu;Calle;;Sector Isla Mocha;;;NO;No Aplica;No Aplica;-38,342571;-73,912353;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-324;128324;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Isabel Jiménez;Centro de Salud Familiar;Municipal;Primario;8207;Tirúa;Calle;;Atahualpa ;412721172;;NO;No Aplica;No Aplica;-38,340707;-73,493973;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-903;200745;28-324;128324;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Tirua;No Aplica;Municipal;Primario;8207;Tirúa;Calle;220;Atahualpa ;412721172;11-09-2023;SI;Urgencia Ambulatoria (SAR);No Aplica;-38,340658;-73,493822;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;24-10-2023
29-430;129430;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Púa;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Aldea de Púa;;;NO;No Aplica;No Aplica;-38,335683;-72,377139;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-423;129423;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pichipellahuén;No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Aldea de Pichipellahuén;;;NO;No Aplica;No Aplica;-38,325013;-72,999756;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-425;129425;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Manzanar ( Lumaco );No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Sector Manzanar;;;NO;No Aplica;No Aplica;-38,31726;-73,249378;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-420;129420;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Temulemu;No Aplica;Municipal;Primario;9210;Traiguén;Calle;;Sector Temulemu;;;NO;No Aplica;No Aplica;-38,307776;-72,822064;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-424;129424;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Curilebu;No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Sector Curilebu;;;NO;No Aplica;No Aplica;-38,305486;-73,16927;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-435;129435;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural California;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Sector California;;;NO;No Aplica;No Aplica;-38,300268;-72,079614;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-431;129431;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quino;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Aldea de Quino;;;NO;No Aplica;No Aplica;-38,298149;-72,144899;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-436;129436;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Reducción Pailahueque;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Sector Reducción Pailahueque;;;NO;No Aplica;No Aplica;-38,292769;-72,315811;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-586;129586;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Didaico;No Aplica;Municipal;Primario;9210;Traiguén;Calle;;Sector Didaico;;;NO;No Aplica;No Aplica;-38,283329;-72,893387;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-426;129426;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chanco;No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Caserío de Chanco;;;NO;No Aplica;No Aplica;-38,264295;-72,942652;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-456;129456;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ranquil;No Aplica;Municipal;Primario;9205;Lonquimay;Calle;;Ranquil Km. 7;;;NO;No Aplica;No Aplica;-38,256996;-71,244447;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-455;129455;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Troyo;No Aplica;Municipal;Primario;9205;Lonquimay;Calle;;Caserío de Troyo;;;NO;No Aplica;No Aplica;-38,252472;-71,30361;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-730;128730;28-324;128324;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Quidico;No Aplica;Municipal;Primario;8207;Tirúa;Calle;;Aldea de Quidico;;;NO;No Aplica;No Aplica;-38,24758;-73,484511;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-983;200083;;;9;Región De La Araucanía;9;SEREMI De La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Centro Médico Traiguén;No Aplica;Privado;No Aplica;9210;Traiguén;Calle;648;Balmaceda;452861132;18-12-2013;NO;No Aplica;No Aplica;-38,246384;-72,670327;Privado;Vigente en Operación Habitual;;No Aplica;
29-104;129104;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Dino Stagno M.(Traiguén);No Aplica;Servicio de Salud;Terciario;9210;Traiguén;Calle;751;21 de Mayo;452555539;;SI;Urgencia Hospitalaria (UEH);No Aplica;-38,24285;-72,671645;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
29-318;129318;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Victoria;Centro de Salud Familiar;Municipal;Primario;9211;Victoria;Calle;730;Muñoz Vargas ;800500902;;NO;No Aplica;No Aplica;-38,235334;-72,330235;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-901;200175;29-318;129318;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Victoria;No Aplica;Municipal;Primario;9211;Victoria;Calle;1920;Chorrillos;452551206;;SI;Urgencia Ambulatoria (SAR);No Aplica;-38,235162;-72,329964;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-106;129106;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital San José de Victoria;Autogestionado en Red (EAR);Servicio de Salud;Terciario;9211;Victoria;Calle;1100;Dartnell;452555929;;SI;Urgencia Hospitalaria (UEH);No Aplica;-38,233942;-72,340159;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
29-960;200060;;;9;Región De La Araucanía;9;SEREMI De La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Temuco Ltda.;No Aplica;Privado;No Aplica;9211;Victoria;Calle;1013;Dartnell;452844840;29-04-2009;NO;No Aplica;No Aplica;-38,232676;-72,339044;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
29-908;200706;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;PAME Estadio Municipal ;No Aplica;Servicio de Salud;Terciario;9211;Victoria;Calle;;Ohiggins, Estadio Municipal ;;;NO;No Aplica;No Aplica;-38,22641;-72,338629;Público ;Vigente en Operación Habitual;Pendiente;Atención Cerrada-Hospitalaria;
29-718;129718;29-318;129318;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Cons. Victoria;No Aplica;Municipal;Primario;9211;Victoria;Calle;1240;Manuel Rodríguez ;;;NO;No Aplica;No Aplica;-38,22283;-72,323068;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-433;129433;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Rosario;No Aplica;Municipal;Primario;9211;Victoria;Calle;;Sector Rosario;;;NO;No Aplica;No Aplica;-38,218495;-72,071733;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-427;128427;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Mahuilque Bajo;No Aplica;Municipal;Primario;8204;Contulmo;Calle;;Sector Mahuilque Bajo;;;NO;No Aplica;No Aplica;-38,211369;-73,238548;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-705;129705;29-105;129105;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Capitán Pastene;No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Pueblo de Capitán Pastene;;;NO;No Aplica;No Aplica;-38,193188;-72,988604;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-428;128428;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Los Huapes de Aillahuampi;No Aplica;Municipal;Primario;8204;Contulmo;Calle;;Sector Los Huapes de Aillahuampi;;;NO;No Aplica;No Aplica;-38,177245;-73,138828;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-105;129105;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio General Rural (CGR);Establecimiento de Salud;Consultorio Lumaco;No Aplica;Municipal;Primario;9207;Lumaco;Calle;;Carlos Condell;;;NO;No Aplica;No Aplica;-38,167272;-72,902397;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-420;128420;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ranquilhue;No Aplica;Municipal;Primario;8207;Tirúa;Calle;;Sector Ranquilhue;;;NO;No Aplica;No Aplica;-38,149884;-73,369549;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-414;129414;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Niblinto;No Aplica;Municipal;Primario;9202;Collipulli;Calle;;Sector Niblinto;;;NO;No Aplica;No Aplica;-38,147491;-71,868791;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-432;129432;29-302;129302;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Pailahueque;No Aplica;Municipal;Primario;9204;Ercilla;Calle;310;Errazuriz, Sector de Pailahueque;;;NO;No Aplica;No Aplica;-38,134675;-72,319257;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-418;129418;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quechereguas;No Aplica;Municipal;Primario;9210;Traiguén;Calle;;Sector Quechereguas;;;NO;No Aplica;No Aplica;-38,134205;-72,590666;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
28-429;128429;;;8;Región Del Bíobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Huillinco;No Aplica;Municipal;Primario;8204;Contulmo;Calle;;Sector Huillinco;;;NO;No Aplica;No Aplica;-38,126981;-73,263346;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-448;129448;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Contraco;No Aplica;Municipal;Primario;9205;Lonquimay;Calle;;Sector Contraco;;;NO;No Aplica;No Aplica;-38,115145;-71,365927;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-428;129428;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Loncoyán;No Aplica;Municipal;Primario;9208;Purén;Calle;;Sector Loncoyán;;;NO;No Aplica;No Aplica;-38,114895;-72,949373;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-416;129416;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Aniñir;No Aplica;Municipal;Primario;9210;Traiguén;Calle;;Sector Aniñir;;;NO;No Aplica;No Aplica;-38,113743;-72,504018;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-404;129404;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cuartel Quemado;No Aplica;Municipal;Primario;9208;Purén;Calle;;Sector Cuartel Quemado;;;NO;No Aplica;No Aplica;-38,113299;-73,075469;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-438;129438;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chacaico;No Aplica;Municipal;Primario;9204;Ercilla;Calle;;Sector Chacaico;;;NO;No Aplica;No Aplica;-38,112309;-72,391674;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-421;129421;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quilquén;No Aplica;Municipal;Primario;9210;Traiguén;Calle;;Caserío Villa Quilquén;;;NO;No Aplica;No Aplica;-38,108286;-72,708764;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-587;129587;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Encinar;No Aplica;Municipal;Primario;9202;Collipulli;Calle;;Sector Encinar;;;NO;No Aplica;No Aplica;-38,104577;-72,11985;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-406;129406;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural El Lingue;No Aplica;Municipal;Primario;9208;Purén;Calle;;Sector El Lingue;;;NO;No Aplica;No Aplica;-38,097052;-72,996993;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-440;129440;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Temocuicui;No Aplica;Municipal;Primario;9204;Ercilla;Calle;;Sector Temocuicui;;;NO;No Aplica;No Aplica;-38,093722;-72,433904;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-413;129413;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Amargo;No Aplica;Municipal;Primario;9202;Collipulli;Calle;;Sector Amargo;;;NO;No Aplica;No Aplica;-38,077007;-71,869979;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-419;129419;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Santa Rosa (Los Sauces );No Aplica;Municipal;Primario;9206;Los Sauces;Calle;;Sector Santa Rosa;;;NO;No Aplica;No Aplica;-38,074725;-72,767444;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
29-302;129302;;;9;Región De La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio General Rural (CGR);Establecimiento de Salud;Consultorio  Ercilla;No Aplica;Municipal;Primario;9204;Ercilla;Avenida;289;Ercilla;455130547;;NO;No Aplica;No Aplica;-38,063893;-72,374371;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
